TimeMins, TotalArrival, WaitingQueue, Rejected
0, 11.0, 0.0, 0
1, 26.0, 0.0, 0
2, 21.0, 0.0, 0
3, 29.0, 1.0, 0
4, 26.0, 0.0, 0
5, 25.0, 0.0, 0
6, 23.0, 0.0, 0
7, 31.0, 3.0, 0
8, 30.0, 5.0, 0
9, 28.0, 5.0, 0
10, 20.0, 0.0, 0
11, 30.0, 2.0, 0
12, 28.0, 2.0, 0
13, 25.0, 0.0, 0
14, 22.0, 0.0, 0
15, 15.0, 0.0, 0
16, 18.0, 0.0, 0
17, 23.0, 0.0, 0
18, 20.0, 0.0, 0
19, 20.0, 0.0, 0
20, 37.0, 9.0, 0
21, 24.0, 5.0, 0
22, 19.0, 0.0, 0
23, 13.0, 0.0, 0
24, 14.0, 0.0, 0
25, 23.0, 0.0, 0
26, 25.0, 0.0, 0
27, 26.0, 0.0, 0
28, 26.0, 0.0, 0
29, 26.0, 0.0, 0
30, 20.0, 0.0, 0
31, 27.0, 0.0, 0
32, 24.0, 0.0, 0
33, 23.0, 0.0, 0
34, 17.0, 0.0, 0
35, 26.0, 0.0, 0
36, 29.0, 1.0, 0
37, 29.0, 2.0, 0
38, 25.0, 0.0, 0
39, 22.0, 0.0, 0
40, 31.0, 3.0, 0
41, 28.0, 3.0, 0
42, 34.0, 9.0, 0
43, 32.0, 13.0, 0
44, 25.0, 10.0, 0
45, 20.0, 2.0, 0
46, 24.0, 0.0, 0
47, 21.0, 0.0, 0
48, 30.0, 2.0, 0
49, 21.0, 0.0, 0
50, 29.0, 1.0, 0
51, 30.0, 3.0, 0
52, 40.0, 15.0, 0
53, 44.0, 31.0, 0
54, 26.0, 29.0, 0
55, 23.0, 24.0, 0
56, 22.0, 18.0, 0
57, 22.0, 12.0, 0
58, 30.0, 14.0, 0
59, 16.0, 2.0, 0
60, 23.0, 0.0, 0
61, 19.0, 0.0, 0
62, 27.0, 0.0, 0
63, 17.0, 0.0, 0
64, 14.0, 0.0, 0
65, 32.0, 4.0, 0
66, 22.0, 0.0, 0
67, 22.0, 0.0, 0
68, 26.0, 0.0, 0
69, 27.0, 0.0, 0
70, 30.0, 2.0, 0
71, 28.0, 2.0, 0
72, 25.0, 0.0, 0
73, 21.0, 0.0, 0
74, 28.0, 0.0, 0
75, 24.0, 0.0, 0
76, 24.0, 0.0, 0
77, 33.0, 5.0, 0
78, 28.0, 5.0, 0
79, 19.0, 0.0, 0
80, 26.0, 0.0, 0
81, 23.0, 0.0, 0
82, 28.0, 0.0, 0
83, 26.0, 0.0, 0
84, 26.0, 0.0, 0
85, 23.0, 0.0, 0
86, 20.0, 0.0, 0
87, 21.0, 0.0, 0
88, 24.0, 0.0, 0
89, 29.0, 1.0, 0
90, 25.0, 0.0, 0
91, 37.0, 9.0, 0
92, 28.0, 9.0, 0
93, 23.0, 4.0, 0
94, 20.0, 0.0, 0
95, 27.0, 0.0, 0
96, 25.0, 0.0, 0
97, 18.0, 0.0, 0
98, 27.0, 0.0, 0
99, 25.0, 0.0, 0
100, 20.0, 0.0, 0
101, 33.0, 5.0, 0
102, 20.0, 0.0, 0
103, 32.0, 4.0, 0
104, 27.0, 3.0, 0
105, 22.0, 0.0, 0
106, 24.0, 0.0, 0
107, 18.0, 0.0, 0
108, 35.0, 7.0, 0
109, 27.0, 6.0, 0
110, 20.0, 0.0, 0
111, 31.0, 3.0, 0
112, 30.0, 5.0, 0
113, 26.0, 3.0, 0
114, 21.0, 0.0, 0
115, 20.0, 0.0, 0
116, 29.0, 1.0, 0
117, 25.0, 0.0, 0
118, 20.0, 0.0, 0
119, 25.0, 0.0, 0
120, 49.0, 21.0, 0
121, 43.0, 36.0, 0
122, 41.0, 49.0, 0
123, 46.0, 67.0, 0
124, 48.0, 87.0, 0
125, 50.0, 109.0, 0
126, 49.0, 130.0, 0
127, 44.0, 146.0, 0
128, 37.0, 155.0, 0
129, 43.0, 170.0, 0
130, 52.0, 194.0, 0
131, 33.0, 199.0, 0
132, 45.0, 216.0, 0
133, 48.0, 236.0, 0
134, 44.0, 252.0, 0
135, 37.0, 261.0, 0
136, 56.0, 289.0, 0
137, 55.0, 316.0, 0
138, 46.0, 334.0, 0
139, 42.0, 348.0, 0
140, 44.0, 364.0, 0
141, 43.0, 379.0, 0
142, 52.0, 403.0, 0
143, 42.0, 417.0, 0
144, 44.0, 433.0, 0
145, 41.0, 446.0, 0
146, 60.0, 478.0, 0
147, 41.0, 491.0, 0
148, 49.0, 512.0, 0
149, 46.0, 530.0, 0
150, 39.0, 541.0, 0
151, 50.0, 563.0, 0
152, 52.0, 587.0, 0
153, 43.0, 602.0, 0
154, 45.0, 619.0, 0
155, 53.0, 644.0, 0
156, 33.0, 649.0, 0
157, 63.0, 684.0, 0
158, 46.0, 702.0, 0
159, 34.0, 708.0, 0
160, 45.0, 725.0, 0
161, 39.0, 736.0, 0
162, 52.0, 760.0, 0
163, 47.0, 772.0, 7
164, 48.0, 772.0, 20
165, 39.0, 772.0, 11
166, 52.0, 772.0, 24
167, 37.0, 772.0, 9
168, 37.0, 772.0, 9
169, 49.0, 772.0, 21
170, 42.0, 772.0, 14
171, 56.0, 772.0, 28
172, 41.0, 772.0, 13
173, 42.0, 772.0, 14
174, 38.0, 772.0, 10
175, 49.0, 772.0, 21
176, 52.0, 772.0, 24
177, 49.0, 772.0, 21
178, 47.0, 772.0, 19
179, 49.0, 772.0, 21
180, 40.0, 772.0, 12
181, 38.0, 772.0, 10
182, 27.0, 771.0, 10
183, 35.0, 772.0, 6
184, 51.0, 772.0, 23
185, 52.0, 772.0, 24
186, 40.0, 772.0, 12
187, 37.0, 772.0, 9
188, 46.0, 772.0, 18
189, 31.0, 772.0, 3
190, 37.0, 772.0, 9
191, 44.0, 772.0, 16
192, 49.0, 772.0, 21
193, 48.0, 772.0, 20
194, 46.0, 772.0, 18
195, 35.0, 772.0, 7
196, 44.0, 772.0, 16
197, 39.0, 772.0, 11
198, 48.0, 772.0, 20
199, 41.0, 772.0, 13
200, 44.0, 772.0, 16
201, 40.0, 772.0, 12
202, 46.0, 772.0, 18
203, 45.0, 772.0, 17
204, 47.0, 772.0, 19
205, 38.0, 772.0, 10
206, 45.0, 772.0, 17
207, 57.0, 772.0, 29
208, 48.0, 772.0, 20
209, 55.0, 772.0, 27
210, 39.0, 772.0, 11
211, 42.0, 772.0, 14
212, 39.0, 772.0, 11
213, 63.0, 772.0, 35
214, 44.0, 772.0, 16
215, 65.0, 772.0, 37
216, 36.0, 772.0, 8
217, 47.0, 772.0, 19
218, 36.0, 772.0, 8
219, 44.0, 772.0, 16
220, 55.0, 772.0, 27
221, 34.0, 772.0, 6
